Serial_Number,5000-6900,5000-6909,5000-6906,5000-6941,5000-6900N,5000-6937,5000-6912,5000-6926,5000-6930,5000-6903,5000-6911,5000-6916,5000-6905,5000-6960,5000-6914,Target_luster,Target_L,Target_a,Target_b
P05000E28C22K77,95.15,0,0,0.02,0,0,0,0,0.11,0.08,0,0,0,0,0,81.3,85.3,-4.5,-3.1
P05000E28C25M47,0,11.15,0,0,0,0,66.57,0,0,0,19.28,0,0,0,0,81.2,54,46.4,43.6
P05000E28C25G35,89.42,5.6,0,0.23,0,0,0,0,0,0.03,0,0,0,0,0,78.3,79.5,4,17.3
P05000E28C22L08,96.58,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,83.7,90.4,-1.4,3.2
GMPC05000191719,0,0,0,2.08,95.29,0.22,0,0,0,0,0,0.91,0,0,0,84.1,66.8,-2.9,0.3
P05000E28C21X72,73.84,0,0,0,0,4.92,17.23,0,0,1.08,0,0,0,0,0,78.7,66.7,-14.8,27.2
P05000E28C20B08,56.76,2.32,0,16.25,0,15.99,0,0,4.13,0,0,0,0,0,0,74.1,38.1,-7,-2.1
P05000E28C25R01,65.04,1.38,0,0.35,0,0,0,0,29.35,0,0,0,0,0,0,81.4,53.6,-25,-26.9
P05000E28C22A91,12.64,0,0,0,0,0,0,8.24,73.27,0.8,0,0,0,0,0,73,32.9,-4.4,-26.4
P05000E28C25Q99,89.36,6.4,0.09,0.24,0,0,0,0,0,0,0,0,0,0,0,83,79.4,4.6,17.1
P05000E28C21V99,52.6,0,0,0,0,0,0.17,3.79,32.22,1.37,0,0,0,0,0,34.4,46.5,-17,-31.9
P05000E28C22W65,96.03,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,80.8,88.9,0.6,9.3
P05000E42C25L92,28.06,48.29,12.76,0.95,0,0,0,0,0,0,0,0,0,0,0,34,48.2,48,20.2
P05000E42C24Q03,89.33,0.56,0,0.21,0,0,0,0,0,0,0,0,0,0,0,43.9,83.5,-0.3,5.5
GMPC05000120053,96.06,0.68,0,0.48,0,0,0,0,0.02,0,0,0,0,0,0,76.8,74.9,-2.3,2
GMPC05000100231,78.7,2.27,0.25,6.12,0,0,0,0,0,0,0,0,0,0,0,24.8,52.4,-1,0.9
GMPC05000171904,48.77,13.46,2.91,25.16,0,0,0,0,0,0,0,0,0,0,0,21.1,36.4,-0.6,0.2
P05000E98C25H76,83.78,4.78,0.3,0.14,0,0,0,0,0,0,0,0,0,0,0,27.7,77,6.2,17.5
P05000E98C25H70,78.85,6.9,0.63,2.96,0,0,0,0,0,0,0,0,0,0,0,21.5,57.9,0.3,4.6
P05000E98C25H75,15.86,0,0,4.79,0,0,0,21.02,39.45,8.11,0,0,0,0,0,23.6,30.1,-2.4,-10
P05000FE0C22U27,89.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,91.9,-1.2,2.1
P05000FE0C22C54,89.7,0.69,0,0,0,0,0,0,0,0,0,0,0,0,0,31.1,90.3,0.7,11.4
P05000FE0C24S50,87.57,0,0.08,3.71,0,0,0,0.46,0,0,0,0,0,0,0,37.2,59.5,-0.9,-1.3
P05000FE0C25P90,59.04,0,0,23.72,0,0,0,1.9,3.78,1.26,0,0,0,0,0,32.5,35.6,-1.7,-3
P05000FE0C23T89,39.12,15.65,5.51,30.24,0,0,0,0,0,0,0,0,0,0,0,37.2,33,-0.4,-0.2
P05000FE0C22B13,11.17,22.4,29.73,25.8,0,0,0,0,0,0,0,0,0,0,0,29,29.7,2.8,2.4
P05000G01C24W97,92.42,0.49,0,0,0,0,0,0,0,0,0,0.07,0,0,0,61.1,90.6,1.5,12.7
P05000G59C25J67,13.83,20.31,19.55,32.66,0,0,0,0,0,0,0,0,0,0,0,4.2,29.1,1.1,0.8
P05000H33C20Q28,26.61,0,0,0.32,0,0,0,0,67.95,0,0,0.12,0,0,0,74.8,39.3,-14.4,-30.6
GMPC05000131212,90.02,1.06,0,0.26,0,0.02,0,0,0,0,0,0,0,0,0,46.4,81.9,-0.3,5.4
P05000H33C25N33,0,6.35,0,80.81,0,0,0,0,0,0,0,0,0,0,0,6.2,25.5,-0.5,-0.7
GMPC05000040590,7.72,0,0,0.28,0,0,61.75,0,0,0,27.17,0,0,0,0,74.5,50.6,40.1,37
